"DATE","total_revenue","impressions_Facebook","impressions_TV","clicks_Search","spend_Facebook","spend_TV","spend_Search"
2017-01-01,86931.8698977832,91867102.4314518,3870107.3126375,636960.207527878,275828.95000836,77245.7615205121,174036.896580865
2017-01-02,66874.0545645477,76957137.1369231,2597748.02203067,550938.69232931,232242.014172425,51886.8905038019,143936.249982424
2017-01-03,60993.6445952963,47904258.6020334,2261004.00865702,497382.892600826,143795.788974338,45503.2088795466,124075.210790737
2017-01-04,95122.4939594209,41747226.4916544,1772749.46839877,286898.115137635,125235.874623009,35509.8520613729,82226.4653939944
2017-01-05,53056.9618267695,58146050.7501903,1814402.00258281,541333.30297929,174973.607472783,36616.8262374972,144908.179288334
2017-01-06,101298.547021057,58471395.0800334,2256408.28096989,380727.833697456,174922.882129952,45383.8446305592,102595.886179084
2017-01-07,126083.754639883,69881860.1764776,2924443.05977022,497387.422324032,210173.410369587,58605.34866299,131795.917686451
2017-01-08,80845.4832943538,43557033.364869,1683114.52962972,425507.659391916,130557.279762465,33827.1775660548,107413.463955835
2017-01-09,85537.5103790192,62368709.5319041,2406477.15566271,454657.699972703,186227.815511857,47835.7370028323,120939.109229492
2017-01-10,108390.17894008,64391321.2581936,2541462.56973413,453141.731727145,193308.907061451,51518.7544407306,122294.417985491
2017-01-11,17551.7349909248,39417353.7257277,1659308.28941584,301889.191489645,118469.839236205,33474.1491580592,77939.5875158867
2017-01-12,118530.685280779,75827069.9752796,3003697.13072825,695846.153085457,227679.939309904,59682.3298013124,183943.237225278
2017-01-13,113615.739493543,50175262.6453007,2169789.14606757,534259.067078451,150202.361808361,43674.5175981123,136634.630367516
2017-01-14,95611.203692398,56038541.0242217,2383075.62714939,562059.822791285,167588.105391935,47581.8418477433,142107.227010037
2017-01-15,75431.8926116962,45792688.0679485,2058183.45998575,435243.12492672,137262.594972409,41405.5269414183,114176.262436412
2017-01-16,100757.010720712,52476975.9464905,2059736.41888282,582272.759797353,157005.843116886,41027.5414703838,149034.194216063
2017-01-17,37623.9701215255,57268134.6081273,1783129.24720402,408039.62148074,171571.027969315,35868.5464714951,107234.394042527
2017-01-18,42969.6611855156,63092104.1985026,2243454.13067417,570010.741719145,190064.840246521,44937.8812541709,156370.180082193
2017-01-19,98216.0803332542,85511709.5896773,3450262.42901668,673543.003566611,257681.898390512,69504.001602395,171736.637475246
2017-01-20,72477.779436629,30136993.5944178,1056787.67539453,246439.80529402,90994.8980677173,21455.9145478558,62866.9220742003
2017-01-21,43057.8433053807,46300511.022807,1668301.7392183,348009.867052428,138513.459058806,33467.6882670728,90246.5335180649
2017-01-22,42747.8256220644,34050369.8749797,1281302.88446977,230810.632383786,101621.646734514,25845.9071785848,61788.4543398642
2017-01-23,90538.1480081859,58928826.190912,1746930.25386748,511393.069368934,176964.913481718,34990.044090024,127443.125804541
2017-01-24,41209.1413695629,55788864.1870426,1703192.43841811,487190.16566731,167844.291270807,34507.0803533549,117549.805482158
2017-01-25,172374.778720709,58832163.7991595,2587459.92167538,481826.900186186,177499.45873025,51488.5795161392,123849.144379587
2017-01-26,141413.244290292,43526170.2120175,1499732.6850613,368077.136874403,130620.264268942,30368.1213353821,93472.0839159248
2017-01-27,11587.6479573006,24919520.9671289,735955.818404726,194812.108532621,74771.0548988996,14755.9707424652,48251.3342631557
2017-01-28,46502.5696886221,40323383.2707453,1738063.55851313,284844.850200916,121034.575032891,34503.2151600197,78119.5069545515
2017-01-29,25557.9299849873,59046139.6657379,2384070.23961511,612583.413104861,176471.503493627,47477.6396195223,155371.606416112
2017-01-30,18806.6088853406,15157489.9720291,708620.117686013,142671.782091199,45420.7328966101,14118.0608999084,38540.3372143939
2017-01-31,73098.6936384169,59335722.7187634,2418287.07015764,527778.466842913,177860.66717943,48603.8932840763,138539.974669566
2017-02-01,94914.6971256142,50154285.350993,1502688.89283292,401523.856710666,150630.662213857,29955.1887403287,106777.268361968
2017-02-02,47489.4551380891,38877140.3267757,1352701.22536869,279874.266506004,116667.221458974,27296.5765433212,77488.4666462138
2017-02-03,20278.2849553589,62439674.8643684,2344922.85057941,445210.965100269,188180.237849457,46547.7961005051,113436.280090071
2017-02-04,155801.984366339,60320858.0786982,2707806.07822899,488959.698815643,181186.835631782,54115.248119003,128050.283423895
2017-02-05,109009.149432813,55960638.1902593,2260659.85291354,387743.021517718,167746.254564274,45313.3079625193,93875.2059277002
2017-02-06,192616.493087516,75587469.5820395,2673448.25756245,727573.234734408,225563.145201371,53301.637161259,180324.100531127
2017-02-07,76828.7800875587,47273996.6691533,1470705.9246307,485139.135215066,141923.313483987,29547.2217546896,116953.008891299
2017-02-08,123027.276153337,49499498.8896486,2245063.63448798,572160.779829674,148375.662723705,45111.9603262918,133181.854589502
2017-02-09,85088.3884710262,39063086.1211297,1182354.04782975,289004.876540432,116957.225302849,23739.8738190259,72579.0480863128
2017-02-10,63690.0051394955,86796160.2869902,2605769.38671451,667688.597213414,261804.212605302,52065.3529689861,171370.645316527
2017-02-11,55417.6278883497,49054831.4386345,1904219.92781468,328272.718216939,147062.161700647,37976.7611431979,82706.8723044555
