"DATE","impressions_Facebook","impressions_TV","spend_Facebook","spend_TV","clicks_Search","spend_Search","total_revenue"
2017-01-01,444975030.668764,17496862.1550469,1337172.52775045,350751.73249628,3391628.46659643,903574.805901889,590361.326504758
2017-01-08,391775291.525496,15846924.4483876,1174034.24808218,317594.507414845,3427361.3255366,891271.673289535,620082.536071099
2017-01-15,380579117.027971,14319855.1003763,1143094.56182217,287667.100554792,3263558.92383702,851665.123844706,470534.237714713
2017-01-22,316369298.501986,11292637.5604099,950356.20441802,226458.91837597,2558954.86321416,650473.455139783,546373.355656737
2017-01-29,345331310.977366,13419096.4744688,1036417.86072374,268114.403306665,2898602.44917156,758204.216822221,435947.654094146
2017-02-05,403235681.177855,14342221.0319536,1209431.97558214,287056.11513597,3457582.36326765,850990.735646924,705677.720260097
2017-02-12,486354849.664289,17143608.6240556,1458607.78473049,344547.012845351,3965235.7360222,1038640.32351005,741396.506518456
2017-02-19,406344736.222567,15371980.5944657,1219386.11948069,308317.789546344,3504223.30292843,899826.932928423,493616.261707733
2017-02-26,355225860.555293,14456470.542984,1065359.20941006,291966.404714714,2976703.16762867,765282.645774969,501457.812060687
2017-03-05,396394769.663667,14860392.4921563,1190149.47011675,298271.747265915,3185527.17983362,816489.620624133,487380.262725559
2017-03-12,337799943.153433,12604336.0482794,1012709.49746677,252857.080675153,2983853.86331891,750654.778835631,350793.476083727
2017-03-19,387195308.988402,15385764.7699832,1159509.40453184,307574.418777267,3322952.33906253,845142.180473696,584957.625979399
2017-03-26,386270862.482348,13775304.0437703,1159004.72447491,275954.205200825,3415654.51610604,906136.521430754,600381.676726938
2017-04-02,370503252.066012,13703288.425261,1110825.01195004,275713.186500125,3623078.61590751,916010.59904235,593582.699425756
2017-04-09,474358087.730571,17376009.8622261,1422121.67227175,349206.671745884,3943680.5469433,994073.488627863,495457.498424241
2017-04-16,329485799.818251,12247883.4583018,988450.285589801,245518.980260065,2820715.19110815,729024.76801202,421515.648613859
2017-04-23,373602578.875087,14742842.7414803,1121706.79739307,295136.427153439,3082674.60611999,778570.514000013,614427.332177963
2017-04-30,389934842.39973,13799229.4198858,1169653.43568132,276117.148419143,3140982.10511287,828647.242071612,408349.89010376
2017-05-07,366777638.193402,12857510.6993679,1098549.09876369,256503.470349526,3114922.31185153,812048.401437548,646050.811706064
2017-05-14,387268640.496775,14596060.1131146,1161329.52034832,292519.879719149,2981141.71946461,776751.170663062,503979.448170378
2017-05-21,422757833.612415,17194275.0080167,1269842.82603787,344190.594112938,3874708.52647623,990649.595129962,842738.941049665
2017-05-28,378485465.845504,13757763.4617503,1138225.10299687,276463.07853314,3101458.50695967,799087.204339726,379349.423268002
2017-06-04,415868428.831166,15915418.6260221,1244838.86235647,318304.813029244,3897546.29718817,999297.280591067,724846.194517902
2017-06-11,398397617.946689,15903367.5967735,1195196.3633067,319533.991004974,3862989.58082718,1009221.73742462,534614.096604603
2017-06-18,373294919.174099,13896862.4139653,1119140.96026936,278008.82024343,3096606.22818021,823436.318326688,592249.797126049
2017-06-25,396448908.913406,15897045.7757567,1189459.5900721,319057.189159557,3627653.36158732,938761.689359806,587936.584167645
2017-07-02,289307505.799066,11429940.1952778,868638.107716749,228927.260534196,2907430.17999034,752882.5341591,316991.008486687
2017-07-09,380354214.470151,14137047.0784538,1141122.67603543,283076.080605241,3302766.85984553,845288.445342668,795677.099413871
2017-07-16,328371853.885297,12307186.4035938,985227.597847569,247172.77082011,2711254.25493852,698804.666298885,313835.592402503
2017-07-23,365505881.285423,14057341.2476212,1096717.29537551,280880.483512212,3390558.04266379,877445.510033432,370361.081048394
2017-07-30,432051935.002148,16336547.5524485,1295103.64898362,328242.537620321,3726752.12234392,985490.392178933,641230.240773717
2017-08-06,399624102.930399,15375871.5218407,1200017.61954898,307134.519510524,3335435.70724305,884887.921933737,530985.869487002
2017-08-13,357750995.16511,11930348.7534019,1072621.27863362,239970.84515123,3304099.05831341,854806.638636179,543357.154106778
2017-08-20,407926508.431905,14425773.3320497,1222571.45694111,288897.9438946,3528947.6635569,942487.602478526,575739.834419132
2017-08-27,348727010.681772,12213638.386373,1044560.71363973,244434.002193082,2776818.96722548,735878.666415121,626792.336057115
2017-09-03,399412060.898294,14586332.6782278,1199647.50513611,293119.990527647,3487725.77920181,881975.251312258,463550.804413777
2017-09-10,380852062.156089,14053642.1637729,1142141.84791683,281282.929384354,3175980.10116481,826092.09142161,578811.602382615
2017-09-17,467492307.404815,18454459.2803259,1405133.98424091,369515.082101328,3632994.92909641,950374.776854488,556497.078219181
2017-09-24,421010573.92151,15260127.4663464,1261187.60613373,305015.475859875,3588606.81802843,943007.573164615,662133.751106957
2017-10-01,315324067.265083,11145039.6282955,947927.91834334,223982.878636148,2566521.74805676,663585.467354182,505108.841946779
2017-10-08,308625347.70546,11217874.0697823,924559.483368695,223683.274782128,2772279.44632481,730036.25161416,395616.357401245
2017-10-15,422613182.265956,15799833.8096119,1267350.92759622,317713.832558914,3518763.27935875,920721.260061653,574331.186053325
2017-10-22,428132990.040908,15534846.1522911,1282876.2053945,311852.683154695,3596593.87694645,935015.934149549,532442.072643767
2017-10-29,382576085.966041,13513727.9933766,1145117.72083675,270705.385924199,3744970.01935837,948084.099780806,462690.551319872
2017-11-05,391023298.863403,15961799.3690688,1174559.75099077,317671.045586504,3349375.89037716,873275.778907649,503823.751334751
2017-11-12,439830988.672599,16950157.3627579,1319257.7189366,341713.176021879,4074474.88441978,1059743.66693019,617828.520904151
2017-11-19,375598415.845447,14586313.1401668,1128493.25671294,292933.052289789,3507326.40184307,910522.337573587,713163.200842808
2017-11-26,355697253.984195,13736388.0218497,1066470.93276689,275234.84717042,3251358.06100777,822577.130420958,563361.263974385
2017-12-03,363886776.849916,13292056.5350411,1094356.51643877,267533.852107542,3300394.00191168,852294.490873628,590859.212322084
2017-12-10,392887170.428302,14042867.2836396,1179197.76531107,282092.764130723,3632752.54905791,913023.663118571,520494.020180925
2017-12-17,461704920.796138,17111962.0182864,1388129.15635929,341545.75813914,3855788.08971525,989495.2822359,562544.780172982
2017-12-24,388546629.976411,14040297.7150987,1165453.92260018,280103.124428006,3390605.68094171,879679.824833453,526783.204724002
2017-12-31,491865412.509677,17989160.9592489,1479697.44060554,361536.523624468,4232490.64572069,1077082.73326843,909784.718293615
2018-01-07,409693223.989103,14616815.2004197,1231393.19923882,292256.974394745,3623639.99445522,943200.606530115,716730.179694588
2018-01-14,460873687.652796,15905696.2568665,1380949.06546384,318089.954544687,3802982.69863334,990995.68907925,1035772.66816113
2018-01-21,437065795.193877,16793113.3906639,1308657.86573116,336143.850919323,3518816.52433639,922232.186194458,717860.715563308
2018-01-28,336641615.335937,13080175.7634963,1008339.22332536,263085.764670487,3051634.59809719,796166.111806928,346021.686732859
2018-02-04,413030601.853631,14596650.1595612,1239909.76566068,294748.033675334,3496837.55914526,918824.321070094,394471.259683689
2018-02-11,368866816.370052,14834805.885369,1107972.51884617,297896.453586364,2974507.83787883,784380.506067101,587396.065372257
