date,ad_platform,advertising_channel,campaign_name,campaign_id,media_investment,clicks,impressions,conversions,conversion_value,country_code
2024-01-01,TV,TV,TV_TV_AT,491904392,2550.24,587.07,578195.7,5,200,AT
2024-01-02,TV,TV,TV_TV_AT,491904392,1611.79,315.82,332676.3,14,560,AT
2024-01-03,TV,TV,TV_TV_AT,491904392,2100.29,427.69,411943.7,15,600,AT
2024-01-04,TV,TV,TV_TV_AT,491904392,1589.13,339.39,323799.6,12,480,AT
2024-01-05,TV,TV,TV_TV_AT,491904392,2047.19,362.46,399604.7,7,280,AT
2024-01-06,TV,TV,TV_TV_AT,491904392,1834.56,337.32,360012.7,27,1080,AT
2024-01-07,TV,TV,TV_TV_AT,491904392,1921.25,388.16,385684.0,16,640,AT
2024-01-08,TV,TV,TV_TV_AT,491904392,1879.66,386.42,392581.3,16,640,AT
2024-01-09,TV,TV,TV_TV_AT,491904392,1069.33,207.88,208051.2,6,240,AT
2024-01-10,TV,TV,TV_TV_AT,491904392,1213.39,229.12,239103.7,12,480,AT
2024-01-11,TV,TV,TV_TV_AT,491904392,1138.97,237.04,226845.8,11,440,AT
2024-01-12,TV,TV,TV_TV_AT,491904392,1828.25,391.35,376426.0,15,600,AT
2024-01-13,TV,TV,TV_TV_AT,491904392,1982.22,399.9,398584.0,7,280,AT
2024-01-14,TV,TV,TV_TV_AT,491904392,1311.76,257.61,243489.3,6,240,AT
2024-01-15,TV,TV,TV_TV_AT,491904392,1963.43,412.62,403089.9,19,760,AT
2024-01-16,TV,TV,TV_TV_AT,491904392,1666.03,321.43,335537.7,13,520,AT
2024-01-17,TV,TV,TV_TV_AT,491904392,1855.33,405.31,397902.7,19,760,AT
2024-01-18,TV,TV,TV_TV_AT,491904392,1747.54,338.68,355315.1,17,680,AT
2024-01-19,TV,TV,TV_TV_AT,491904392,1493.51,309.53,296227.1,8,320,AT
2024-01-20,TV,TV,TV_TV_AT,491904392,1381.5,271.05,271725.9,14,560,AT
2024-01-21,TV,TV,TV_TV_AT,491904392,1493.08,324.99,328012.7,7,280,AT
2024-01-22,TV,TV,TV_TV_AT,491904392,1983.44,381.45,394656.2,13,520,AT
2024-01-23,TV,TV,TV_TV_AT,491904392,1393.07,310.02,291634.9,6,240,AT
2024-01-24,TV,TV,TV_TV_AT,491904392,2093.93,375.45,378365.6,14,560,AT
2024-01-25,TV,TV,TV_TV_AT,491904392,2068.64,435.89,445326.6,34,1360,AT
2024-01-26,TV,TV,TV_TV_AT,491904392,1524.21,275.73,280623.8,12,480,AT
2024-01-27,TV,TV,TV_TV_AT,491904392,2093.11,433.07,421697.6,15,600,AT
2024-01-28,TV,TV,TV_TV_AT,491904392,1749.36,337.64,331525.4,14,560,AT
2024-01-29,TV,TV,TV_TV_AT,491904392,1065.06,221.34,216817.5,14,560,AT
2024-01-30,TV,TV,TV_TV_AT,491904392,2245.57,417.28,408386.2,14,560,AT
2024-01-31,TV,TV,TV_TV_AT,491904392,2685.06,571.23,513226.4,25,1000,AT
2024-02-01,TV,TV,TV_TV_AT,491904392,1694.34,322.04,328648.8,19,760,AT
2024-02-02,TV,TV,TV_TV_AT,491904392,1713.67,347.18,356191.4,7,280,AT
2024-02-03,TV,TV,TV_TV_AT,491904392,2470.23,502.69,523563.2,16,640,AT
2024-02-04,TV,TV,TV_TV_AT,491904392,1739.02,312.84,303355.1,14,560,AT
2024-02-05,TV,TV,TV_TV_AT,491904392,1655.07,378.99,358184.7,9,360,AT
2024-02-06,TV,TV,TV_TV_AT,491904392,2739.15,603.36,606807.7,10,400,AT
2024-02-07,TV,TV,TV_TV_AT,491904392,2403.16,444.32,463385.8,15,600,AT
2024-02-08,TV,TV,TV_TV_AT,491904392,2566.73,462.95,482435.0,32,1280,AT
2024-02-09,TV,TV,TV_TV_AT,491904392,2618.8,521.51,504820.0,16,640,AT
2024-02-10,TV,TV,TV_TV_AT,491904392,2222.08,496.65,478533.2,16,640,AT
2024-02-11,TV,TV,TV_TV_AT,491904392,2393.38,473.44,460752.1,16,640,AT
2024-02-12,TV,TV,TV_TV_AT,491904392,2304.27,437.91,452726.4,19,760,AT
2024-02-13,TV,TV,TV_TV_AT,491904392,2341.05,498.61,492857.9,26,1040,AT
2024-02-14,TV,TV,TV_TV_AT,491904392,2010.66,375.91,373723.4,19,760,AT
2024-02-15,TV,TV,TV_TV_AT,491904392,2316.44,460.53,455517.2,32,1280,AT
2024-02-16,TV,TV,TV_TV_AT,491904392,1165.59,234.88,224866.9,11,440,AT
2024-02-17,TV,TV,TV_TV_AT,491904392,2358.46,483.25,477880.1,16,640,AT
2024-02-18,TV,TV,TV_TV_AT,491904392,2130.84,396.12,382902.3,16,640,AT
2024-02-19,TV,TV,TV_TV_AT,491904392,964.93,178.89,178282.9,11,440,AT
2024-02-20,TV,TV,TV_TV_AT,491904392,1732.4,332.62,327843.8,12,480,AT
2024-02-21,TV,TV,TV_TV_AT,491904392,2248.78,454.13,440020.3,17,680,AT
2024-02-22,TV,TV,TV_TV_AT,491904392,1806.4,367.34,395100.5,29,1160,AT
2024-02-23,TV,TV,TV_TV_AT,491904392,1252.77,260.61,264804.8,16,640,AT
2024-02-24,TV,TV,TV_TV_AT,491904392,1968.99,380.74,389802.2,5,200,AT
2024-02-25,TV,TV,TV_TV_AT,491904392,2071.46,395.83,408675.2,21,840,AT
2024-02-26,TV,TV,TV_TV_AT,491904392,1689.62,338.83,343528.1,19,760,AT
2024-02-27,TV,TV,TV_TV_AT,491904392,1493.68,336.6,312361.2,10,400,AT
2024-02-28,TV,TV,TV_TV_AT,491904392,1690.87,345.7,360996.8,17,680,AT
2024-02-29,TV,TV,TV_TV_AT,491904392,1460.72,304.73,290326.1,12,480,AT
2024-03-01,TV,TV,TV_TV_AT,491904392,1814.89,331.56,360661.4,17,680,AT
2024-03-02,TV,TV,TV_TV_AT,491904392,1814.6,333.93,339565.8,16,640,AT
2024-03-03,TV,TV,TV_TV_AT,491904392,2151.32,417.6,414213.2,14,560,AT
2024-03-04,TV,TV,TV_TV_AT,491904392,1766.0,375.62,364773.9,15,600,AT
2024-03-05,TV,TV,TV_TV_AT,491904392,2061.77,454.8,438914.7,11,440,AT
2024-03-06,TV,TV,TV_TV_AT,491904392,1623.45,412.53,396485.2,20,800,AT
2024-03-07,TV,TV,TV_TV_AT,491904392,2518.17,483.25,491747.2,29,1160,AT
2024-03-08,TV,TV,TV_TV_AT,491904392,2238.16,454.77,465402.3,15,600,AT
2024-03-09,TV,TV,TV_TV_AT,491904392,2083.77,438.36,419952.6,10,400,AT
2024-03-10,TV,TV,TV_TV_AT,491904392,1862.61,402.8,406675.2,16,640,AT
2024-03-11,TV,TV,TV_TV_AT,491904392,2580.0,530.46,565398.7,21,840,AT
2024-03-12,TV,TV,TV_TV_AT,491904392,2387.87,483.11,511278.2,13,520,AT
2024-03-13,TV,TV,TV_TV_AT,491904392,1920.67,346.24,362530.5,21,840,AT
2024-03-14,TV,TV,TV_TV_AT,491904392,1660.54,400.79,390950.3,13,520,AT
2024-03-15,TV,TV,TV_TV_AT,491904392,1775.64,336.94,334546.0,21,840,AT
2024-03-16,TV,TV,TV_TV_AT,491904392,1638.92,334.14,322802.8,10,400,AT
2024-03-17,TV,TV,TV_TV_AT,491904392,1366.89,254.18,259671.8,10,400,AT
2024-03-18,TV,TV,TV_TV_AT,491904392,1575.73,296.26,293920.4,9,360,AT
2024-03-19,TV,TV,TV_TV_AT,491904392,2467.07,508.13,492485.1,17,680,AT
2024-03-20,TV,TV,TV_TV_AT,491904392,2015.44,392.06,398169.3,16,640,AT
2024-03-21,TV,TV,TV_TV_AT,491904392,2304.7,440.47,430525.0,13,520,AT
2024-03-22,TV,TV,TV_TV_AT,491904392,1800.68,336.94,348280.3,18,720,AT
2024-03-23,TV,TV,TV_TV_AT,491904392,1962.68,369.04,375799.5,19,760,AT
2024-03-24,TV,TV,TV_TV_AT,491904392,2353.89,477.35,486549.2,26,1040,AT
2024-03-25,TV,TV,TV_TV_AT,491904392,1307.83,254.85,270554.4,11,440,AT
2024-03-26,TV,TV,TV_TV_AT,491904392,1841.47,368.09,359232.8,15,600,AT
2024-03-27,TV,TV,TV_TV_AT,491904392,2185.12,450.2,460889.1,34,1360,AT
2024-03-28,TV,TV,TV_TV_AT,491904392,1495.95,279.24,279060.6,15,600,AT
2024-03-29,TV,TV,TV_TV_AT,491904392,2387.67,477.59,466243.1,19,760,AT
2024-03-30,TV,TV,TV_TV_AT,491904392,2096.83,439.43,429728.4,11,440,AT
2024-03-31,TV,TV,TV_TV_AT,491904392,1872.88,363.02,351137.7,9,360,AT
2024-04-01,TV,TV,TV_TV_AT,491904392,1309.92,234.06,235211.7,8,320,AT
2024-04-02,TV,TV,TV_TV_AT,491904392,1608.02,303.69,310182.8,7,280,AT
2024-04-03,TV,TV,TV_TV_AT,491904392,2000.29,435.71,437451.8,6,240,AT
2024-04-04,TV,TV,TV_TV_AT,491904392,1465.86,295.42,321430.4,11,440,AT
2024-04-05,TV,TV,TV_TV_AT,491904392,2175.33,438.99,471932.5,20,800,AT
2024-04-06,TV,TV,TV_TV_AT,491904392,2046.73,388.04,414565.6,18,720,AT
2024-04-07,TV,TV,TV_TV_AT,491904392,1120.54,217.16,228259.3,11,440,AT
2024-04-08,TV,TV,TV_TV_AT,491904392,1834.68,399.42,391515.9,22,880,AT
2024-04-09,TV,TV,TV_TV_AT,491904392,1798.96,341.04,356839.1,12,480,AT
2024-04-10,TV,TV,TV_TV_AT,491904392,1997.97,343.4,349958.0,22,880,AT
2024-04-11,TV,TV,TV_TV_AT,491904392,1878.16,386.89,362551.8,21,840,AT
2024-04-12,TV,TV,TV_TV_AT,491904392,1922.09,362.94,369464.3,16,640,AT
2024-04-13,TV,TV,TV_TV_AT,491904392,1329.32,264.72,255138.3,13,520,AT
2024-04-14,TV,TV,TV_TV_AT,491904392,2490.57,439.27,460261.0,4,160,AT
2024-04-15,TV,TV,TV_TV_AT,491904392,1404.97,277.6,280470.8,5,200,AT
2024-04-16,TV,TV,TV_TV_AT,491904392,2012.79,362.91,380565.0,23,920,AT
2024-04-17,TV,TV,TV_TV_AT,491904392,1512.99,275.34,280050.3,9,360,AT
2024-04-18,TV,TV,TV_TV_AT,491904392,1563.54,331.76,318107.4,9,360,AT
2024-04-19,TV,TV,TV_TV_AT,491904392,1548.26,272.32,296886.4,12,480,AT
2024-04-20,TV,TV,TV_TV_AT,491904392,1775.33,330.11,323018.4,13,520,AT
2024-04-21,TV,TV,TV_TV_AT,491904392,2015.61,423.55,418545.4,15,600,AT
2024-04-22,TV,TV,TV_TV_AT,491904392,2024.12,404.26,416454.6,21,840,AT
2024-04-23,TV,TV,TV_TV_AT,491904392,1629.12,268.52,288656.2,17,680,AT
2024-04-24,TV,TV,TV_TV_AT,491904392,1795.98,345.94,344699.3,16,640,AT
2024-04-25,TV,TV,TV_TV_AT,491904392,1316.4,257.81,264725.2,13,520,AT
2024-04-26,TV,TV,TV_TV_AT,491904392,2437.42,510.32,504416.5,11,440,AT
2024-04-27,TV,TV,TV_TV_AT,491904392,1628.67,339.13,338758.9,25,1000,AT
2024-04-28,TV,TV,TV_TV_AT,491904392,1725.52,372.16,343514.4,16,640,AT
2024-04-29,TV,TV,TV_TV_AT,491904392,1959.83,404.34,409209.3,14,560,AT
2024-04-30,TV,TV,TV_TV_AT,491904392,1833.37,381.45,401475.1,7,280,AT
2024-05-01,TV,TV,TV_TV_AT,491904392,2275.06,463.43,459293.0,18,720,AT
2024-05-02,TV,TV,TV_TV_AT,491904392,2517.28,467.98,462864.8,21,840,AT
2024-05-03,TV,TV,TV_TV_AT,491904392,1286.73,282.52,263954.0,9,360,AT
2024-05-04,TV,TV,TV_TV_AT,491904392,1731.13,334.69,320998.2,16,640,AT
2024-05-05,TV,TV,TV_TV_AT,491904392,1933.35,387.29,380437.1,20,800,AT
2024-05-06,TV,TV,TV_TV_AT,491904392,1897.03,445.48,414049.8,8,320,AT
2024-05-07,TV,TV,TV_TV_AT,491904392,2027.74,379.75,403010.2,21,840,AT
2024-05-08,TV,TV,TV_TV_AT,491904392,2298.9,445.67,460155.8,12,480,AT
2024-05-09,TV,TV,TV_TV_AT,491904392,2289.12,436.89,457610.3,5,200,AT
2024-05-10,TV,TV,TV_TV_AT,491904392,2328.14,435.99,444570.2,16,640,AT
2024-05-11,TV,TV,TV_TV_AT,491904392,1903.2,323.86,346942.4,7,280,AT
2024-05-12,TV,TV,TV_TV_AT,491904392,2664.74,585.77,567460.7,10,400,AT
2024-05-13,TV,TV,TV_TV_AT,491904392,1762.97,341.66,345479.5,18,720,AT
2024-05-14,TV,TV,TV_TV_AT,491904392,1679.43,328.34,353399.9,8,320,AT
2024-05-15,TV,TV,TV_TV_AT,491904392,1553.9,298.04,313560.9,22,880,AT
2024-05-16,TV,TV,TV_TV_AT,491904392,1553.31,308.13,303338.6,13,520,AT
2024-05-17,TV,TV,TV_TV_AT,491904392,2507.04,525.6,504031.7,26,1040,AT
2024-05-18,TV,TV,TV_TV_AT,491904392,1394.88,293.34,265467.5,5,200,AT
2024-05-19,TV,TV,TV_TV_AT,491904392,1686.8,347.63,300498.4,14,560,AT
2024-05-20,TV,TV,TV_TV_AT,491904392,1885.87,381.62,373791.5,14,560,AT
2024-05-21,TV,TV,TV_TV_AT,491904392,2156.72,412.8,433738.5,16,640,AT
