country,turnover,customer_type,country_code,granted_discounts,sales_channel,date
Austria,2659.62,New,AT,0,Ecom,2024-01-01
Austria,862.6,New,AT,0,Stores,2024-01-01
Austria,1018.42,Returning,AT,0,Ecom,2024-01-01
Austria,142.89,Returning,AT,0,Stores,2024-01-01
Austria,1460.01,New,AT,0,Ecom,2024-01-02
Austria,1806.89,New,AT,0,Stores,2024-01-02
Austria,1511.41,Returning,AT,0,Ecom,2024-01-02
Austria,419.39,Returning,AT,0,Stores,2024-01-02
Austria,2004.48,New,AT,0,Ecom,2024-01-03
Austria,2969.01,New,AT,0,Stores,2024-01-03
Austria,1135.19,Returning,AT,0,Ecom,2024-01-03
Austria,303.96,Returning,AT,0,Stores,2024-01-03
Austria,879.16,New,AT,0,Ecom,2024-01-04
Austria,2032.04,New,AT,0,Stores,2024-01-04
Austria,1736.1,Returning,AT,0,Ecom,2024-01-04
Austria,746.77,Returning,AT,0,Stores,2024-01-04
Austria,1570.43,New,AT,0,Ecom,2024-01-05
Austria,2604.67,New,AT,0,Stores,2024-01-05
Austria,1723.29,Returning,AT,0,Ecom,2024-01-05
Austria,361.44,Returning,AT,0,Stores,2024-01-05
Austria,1002.45,New,AT,0,Ecom,2024-01-06
Austria,1417.16,New,AT,0,Stores,2024-01-06
Austria,2768.97,Returning,AT,0,Ecom,2024-01-06
Austria,1179.19,Returning,AT,0,Stores,2024-01-06
Austria,1424.01,New,AT,0,Ecom,2024-01-07
Austria,1011.81,New,AT,0,Stores,2024-01-07
Austria,2832.56,Returning,AT,0,Ecom,2024-01-07
Austria,615.87,Returning,AT,0,Stores,2024-01-07
Austria,1378.25,New,AT,0,Ecom,2024-01-08
Austria,481.66,New,AT,0,Stores,2024-01-08
Austria,3392.69,Returning,AT,0,Ecom,2024-01-08
Austria,251.15,Returning,AT,0,Stores,2024-01-08
Austria,1842.39,New,AT,0,Ecom,2024-01-09
Austria,394.14,New,AT,0,Stores,2024-01-09
Austria,1933.75,Returning,AT,0,Ecom,2024-01-09
Austria,577.01,Returning,AT,0,Stores,2024-01-09
Austria,1568.68,New,AT,0,Ecom,2024-01-10
Austria,742.66,New,AT,0,Stores,2024-01-10
Austria,2005.18,Returning,AT,0,Ecom,2024-01-10
